State,District,Year,Type,Cause,Deaths
Karnataka,Bangalore,2015,Natural,Stroke,97
Karnataka,Bangalore,2015,Accidental,Poisoning,75
Karnataka,Bangalore,2015,Natural,Heat Stroke,18
Karnataka,Bangalore,2015,Natural,Heat Stroke,14
Karnataka,Bangalore,2015,Accidental,Poisoning,14
Karnataka,Bangalore,2016,Accidental,Road Accident,53
Karnataka,Bangalore,2016,Accidental,Drowning,90
Karnataka,Bangalore,2016,Natural,Epidemic,61
Karnataka,Bangalore,2016,Accidental,Road Accident,72
Karnataka,Bangalore,2017,Accidental,Poisoning,34
Karnataka,Bangalore,2017,Natural,Heart Attack,39
Karnataka,Bangalore,2017,Accidental,Fall,43
Karnataka,Bangalore,2018,Natural,Stroke,54
Karnataka,Bangalore,2018,Accidental,Fire,59
Karnataka,Bangalore,2018,Natural,Epidemic,71
Karnataka,Bangalore,2018,Accidental,Fall,40
Karnataka,Bangalore,2018,Natural,Heart Attack,52
Karnataka,Bangalore,2018,Natural,Heat Stroke,46
Karnataka,Bangalore,2019,Natural,Heat Stroke,81
Karnataka,Bangalore,2019,Accidental,Poisoning,74
Karnataka,Bangalore,2019,Natural,Stroke,42
Karnataka,Bangalore,2019,Accidental,Poisoning,30
Karnataka,Bangalore,2020,Natural,Heart Attack,68
Karnataka,Bangalore,2020,Accidental,Drowning,34
Karnataka,Bangalore,2020,Natural,Heart Attack,35
Karnataka,Bangalore,2020,Accidental,Road Accident,86
Karnataka,Bangalore,2021,Natural,Stroke,53
Karnataka,Bangalore,2021,Accidental,Fire,50
Karnataka,Bangalore,2021,Accidental,Drowning,85
Karnataka,Bangalore,2022,Accidental,Fire,77
Karnataka,Bangalore,2022,Natural,Epidemic,97
Karnataka,Bangalore,2022,Natural,Heart Attack,40
Karnataka,Bangalore,2023,Accidental,Poisoning,25
Karnataka,Bangalore,2023,Natural,Heart Attack,34
Karnataka,Bangalore,2023,Accidental,Fall,40
Karnataka,Bangalore,2023,Accidental,Fire,84
Karnataka,Bangalore,2023,Accidental,Fall,31
Karnataka,Bangalore,2023,Accidental,Drowning,67
Karnataka,Bangalore,2024,Natural,Heat Stroke,62
Karnataka,Bangalore,2024,Accidental,Road Accident,189
Karnataka,Bangalore,2024,Natural,Heart Attack,31
Karnataka,Bangalore,2024,Natural,Heat Stroke,44
Karnataka,Bangalore,2024,Natural,Heat Stroke,84
Karnataka,Mysore,2015,Natural,Epidemic,113
Karnataka,Mysore,2015,Accidental,Fire,13
Karnataka,Mysore,2015,Natural,Heat Stroke,65
Karnataka,Mysore,2016,Accidental,Fire,28
Karnataka,Mysore,2016,Natural,Stroke,19
Karnataka,Mysore,2016,Natural,Epidemic,63
Karnataka,Mysore,2017,Natural,Heart Attack,71
Karnataka,Mysore,2017,Accidental,Drowning,75
Karnataka,Mysore,2017,Accidental,Drowning,19
Karnataka,Mysore,2018,Natural,Epidemic,62
Karnataka,Mysore,2018,Natural,Heart Attack,104
Karnataka,Mysore,2018,Accidental,Fall,102
Karnataka,Mysore,2018,Accidental,Fall,79
Karnataka,Mysore,2018,Accidental,Road Accident,85
Karnataka,Mysore,2018,Natural,Heart Attack,6
Karnataka,Mysore,2019,Natural,Stroke,4
Karnataka,Mysore,2019,Natural,Heat Stroke,82
Karnataka,Mysore,2019,Accidental,Poisoning,65
Karnataka,Mysore,2019,Natural,Heat Stroke,113
Karnataka,Mysore,2019,Accidental,Fall,40
Karnataka,Mysore,2020,Accidental,Drowning,70
Karnataka,Mysore,2020,Accidental,Fire,62
Karnataka,Mysore,2020,Natural,Epidemic,23
Karnataka,Mysore,2020,Accidental,Fall,88
Karnataka,Mysore,2021,Accidental,Poisoning,45
Karnataka,Mysore,2021,Accidental,Fall,70
Karnataka,Mysore,2021,Accidental,Drowning,49
Karnataka,Mysore,2021,Accidental,Road Accident,148
Karnataka,Mysore,2021,Natural,Stroke,42
Karnataka,Mysore,2021,Natural,Heart Attack,0
Karnataka,Mysore,2022,Natural,Heart Attack,106
Karnataka,Mysore,2022,Accidental,Road Accident,154
Karnataka,Mysore,2022,Accidental,Fall,88
Karnataka,Mysore,2022,Natural,Heat Stroke,51
Karnataka,Mysore,2022,Natural,Heat Stroke,37
Karnataka,Mysore,2022,Accidental,Poisoning,80
Karnataka,Mysore,2023,Natural,Heat Stroke,38
Karnataka,Mysore,2023,Natural,Epidemic,68
Karnataka,Mysore,2023,Natural,Heat Stroke,19
Karnataka,Mysore,2023,Accidental,Fall,55
Karnataka,Mysore,2023,Accidental,Fall,42
Karnataka,Mysore,2024,Accidental,Poisoning,19
Karnataka,Mysore,2024,Natural,Heat Stroke,41
Karnataka,Mysore,2024,Accidental,Fall,102
Karnataka,Mysore,2024,Natural,Stroke,20
Karnataka,Mysore,2024,Natural,Heat Stroke,28
Karnataka,Hubli,2015,Accidental,Fire,14
Karnataka,Hubli,2015,Natural,Epidemic,4
Karnataka,Hubli,2015,Accidental,Fall,37
Karnataka,Hubli,2016,Natural,Heat Stroke,87
Karnataka,Hubli,2016,Accidental,Fire,42
Karnataka,Hubli,2016,Accidental,Drowning,12
Karnataka,Hubli,2016,Natural,Heart Attack,0
Karnataka,Hubli,2016,Accidental,Drowning,98
Karnataka,Hubli,2017,Natural,Heart Attack,64
Karnataka,Hubli,2017,Natural,Stroke,33
Karnataka,Hubli,2017,Accidental,Poisoning,68
Karnataka,Hubli,2017,Accidental,Fire,23
Karnataka,Hubli,2017,Natural,Stroke,7
Karnataka,Hubli,2018,Natural,Heat Stroke,49
Karnataka,Hubli,2018,Accidental,Road Accident,117
Karnataka,Hubli,2018,Natural,Heat Stroke,28
Karnataka,Hubli,2018,Natural,Heat Stroke,76
Karnataka,Hubli,2019,Natural,Stroke,14
Karnataka,Hubli,2019,Natural,Heart Attack,84
Karnataka,Hubli,2019,Accidental,Fire,49
Karnataka,Hubli,2019,Accidental,Fall,60
Karnataka,Hubli,2019,Accidental,Fire,33
Karnataka,Hubli,2020,Natural,Heart Attack,37
Karnataka,Hubli,2020,Natural,Epidemic,80
Karnataka,Hubli,2020,Natural,Heat Stroke,48
Karnataka,Hubli,2020,Natural,Heat Stroke,29
Karnataka,Hubli,2020,Natural,Epidemic,82
Karnataka,Hubli,2020,Natural,Epidemic,14
Karnataka,Hubli,2021,Accidental,Fire,26
Karnataka,Hubli,2021,Accidental,Fire,35
Karnataka,Hubli,2021,Natural,Heat Stroke,55
Karnataka,Hubli,2021,Natural,Heat Stroke,44
Karnataka,Hubli,2021,Natural,Heart Attack,44
Karnataka,Hubli,2021,Accidental,Drowning,52
Karnataka,Hubli,2022,Natural,Stroke,93
Karnataka,Hubli,2022,Natural,Heat Stroke,22
Karnataka,Hubli,2022,Accidental,Road Accident,180
Karnataka,Hubli,2022,Accidental,Fall,53
Karnataka,Hubli,2022,Natural,Stroke,58
Karnataka,Hubli,2022,Natural,Epidemic,47
Karnataka,Hubli,2023,Accidental,Road Accident,171
Karnataka,Hubli,2023,Accidental,Road Accident,154
Karnataka,Hubli,2023,Accidental,Fall,72
Karnataka,Hubli,2023,Natural,Heat Stroke,35
Karnataka,Hubli,2023,Accidental,Fall,91
Karnataka,Hubli,2024,Accidental,Road Accident,153
Karnataka,Hubli,2024,Natural,Heat Stroke,53
Karnataka,Hubli,2024,Accidental,Road Accident,173
Karnataka,Hubli,2024,Natural,Stroke,24
Karnataka,Mangalore,2015,Accidental,Fall,20
Karnataka,Mangalore,2015,Accidental,Fire,101
Karnataka,Mangalore,2015,Accidental,Poisoning,15
Karnataka,Mangalore,2016,Accidental,Fall,70
Karnataka,Mangalore,2016,Accidental,Fire,26
Karnataka,Mangalore,2016,Natural,Epidemic,91
Karnataka,Mangalore,2016,Accidental,Fire,66
Karnataka,Mangalore,2017,Accidental,Drowning,28
Karnataka,Mangalore,2017,Natural,Epidemic,16
Karnataka,Mangalore,2017,Accidental,Drowning,51
Karnataka,Mangalore,2017,Natural,Heart Attack,76
Karnataka,Mangalore,2018,Natural,Heart Attack,76
Karnataka,Mangalore,2018,Accidental,Fall,54
Karnataka,Mangalore,2018,Accidental,Poisoning,51
Karnataka,Mangalore,2018,Accidental,Drowning,73
Karnataka,Mangalore,2018,Natural,Heat Stroke,69
Karnataka,Mangalore,2019,Natural,Heat Stroke,83
Karnataka,Mangalore,2019,Accidental,Fire,36
Karnataka,Mangalore,2019,Natural,Stroke,69
Karnataka,Mangalore,2020,Natural,Heat Stroke,69
Karnataka,Mangalore,2020,Natural,Epidemic,46
Karnataka,Mangalore,2020,Accidental,Drowning,79
Karnataka,Mangalore,2020,Accidental,Fall,63
Karnataka,Mangalore,2021,Natural,Stroke,29
Karnataka,Mangalore,2021,Accidental,Road Accident,172
Karnataka,Mangalore,2021,Accidental,Road Accident,201
Karnataka,Mangalore,2021,Natural,Heat Stroke,69
Karnataka,Mangalore,2021,Accidental,Road Accident,176
Karnataka,Mangalore,2021,Accidental,Road Accident,134
Karnataka,Mangalore,2022,Accidental,Drowning,19
Karnataka,Mangalore,2022,Natural,Heart Attack,34
Karnataka,Mangalore,2022,Accidental,Fall,98
Karnataka,Mangalore,2022,Accidental,Drowning,100
Karnataka,Mangalore,2022,Accidental,Fall,102
Karnataka,Mangalore,2023,Accidental,Drowning,25
Karnataka,Mangalore,2023,Accidental,Drowning,18
Karnataka,Mangalore,2023,Natural,Epidemic,54
Karnataka,Mangalore,2023,Accidental,Road Accident,200
Karnataka,Mangalore,2024,Accidental,Fall,54
Karnataka,Mangalore,2024,Natural,Stroke,14
Karnataka,Mangalore,2024,Accidental,Road Accident,159
Karnataka,Belgaum,2015,Natural,Epidemic,31
Karnataka,Belgaum,2015,Accidental,Drowning,28
Karnataka,Belgaum,2015,Natural,Stroke,34
Karnataka,Belgaum,2016,Natural,Heart Attack,46
Karnataka,Belgaum,2016,Accidental,Drowning,69
Karnataka,Belgaum,2016,Natural,Epidemic,96
Karnataka,Belgaum,2017,Accidental,Poisoning,0
Karnataka,Belgaum,2017,Accidental,Fire,86
Karnataka,Belgaum,2017,Natural,Heart Attack,13
Karnataka,Belgaum,2017,Accidental,Poisoning,75
Karnataka,Belgaum,2017,Accidental,Fall,70
Karnataka,Belgaum,2018,Accidental,Road Accident,86
Karnataka,Belgaum,2018,Accidental,Drowning,87
Karnataka,Belgaum,2018,Accidental,Poisoning,101
Karnataka,Belgaum,2018,Natural,Heart Attack,24
Karnataka,Belgaum,2019,Accidental,Drowning,105
Karnataka,Belgaum,2019,Natural,Stroke,46
